income,investment_amount,age,risk_tolerance,recommended_watch,brand,Price,link,2018,2019,2020,2021,2022,2023,2024
213068,151,95,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
187563,163,19,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
47805,158,77,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
165086,160,76,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
98508,153,48,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
27541,156,38,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
121636,158,18,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
225150,158,22,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
26719,157,43,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
191924,161,23,Moderate,Submariner Date Hulk 2016,Rolex,15552 USD,https://www.kronos360.com/11461-large_default/rolex-12089-rolex-submariner.jpg,11124,11761,12470,13185,13940,14768,15552
219428,2144,87,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
121302,2128,99,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
232214,2134,87,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
65171,2139,76,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
224835,2138,66,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
174750,2128,45,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
68073,2126,53,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
174431,2138,37,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
68712,2129,66,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
60899,2127,63,Moderate,Patek Nautilus 5711/1A Green Dial,Patek Philippe,213655 USD,https://hodinkee-production.s3.amazonaws.com/uploads/images/9c8ab142-43bc-4c01-8ad7-cba0f8746efd/Patek-phhilippe-5711a-green-2021-4.jpg,34890,34890,34890,34890,65269,118663,213655
73723,401,38,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
73518,398,80,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
40899,389,81,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
150246,401,90,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
247610,396,37,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
213792,406,28,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
142445,390,92,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
210680,390,67,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
106833,389,32,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
153745,400,21,Moderate,Royal Oak Offshore Chronograph Camouflage Steel 44mm,Audemars Piguet,39900 USD,https://img.chrono24.com/images/uhren/21784579-mh3fjgjd8mlbd2y2cifkhnsv-ExtraLarge.jpg,32400,42304,57052,75992,104945,140191,39900
149471,62,41,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
134220,56,57,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
158525,58,86,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
238210,72,81,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
247414,72,58,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
109314,61,94,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
49925,55,96,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
86248,66,79,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
115076,69,22,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
166673,57,28,Low,Omega Speedmaster Moonwatch,Omega,6499 USD,https://images.hbjo-online.com/webp/images/all/310.30.42.50.01.002.jpg,6100,6100,6100,6100,10658,21292,6499
80078,239,42,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
100321,248,42,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
138928,251,94,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
55011,254,36,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
248835,246,34,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
185733,252,48,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
119568,254,48,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
183712,252,85,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
171512,242,35,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
95939,254,35,Low,Daytona Panda - 2019 - LC EU,Rolex,24984 USD,https://img.chrono24.com/images/uhren/37382038-us1ylyh7ggnf96jw8b8oswej-ExtraLarge.jpg,12400,12400,14403,16606,19075,21857,24984
96547,71,41,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
97139,74,36,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
26454,72,94,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
151859,74,94,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
232013,87,28,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
102865,75,41,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
100423,75,64,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
171784,80,74,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
97477,75,47,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
197046,81,56,Low,Portugieser Chronograph,IWC,8000 USD,https://www.iwc.com/content/dam/rcq/iwc/16/36/62/6/1636626.jpeg.transform.buying-options_watch_1000.jpeg,7500,7500,7617,7733,7823,7866,8000
46354,2053,42,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
222258,2052,22,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
25079,2055,92,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
202448,2040,27,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
144278,2042,75,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
126941,2058,86,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
181411,2042,49,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
49047,2051,42,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
86081,2054,72,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
58918,2055,61,High,Richard Mille 11-03,Richard Mille,205034 USD,https://img.chrono24.com/images/uhren/34526538-rwkxlrzkkz5v1nvrt7e20yvn-ExtraLarge.jpg,171255,176195,181571,187477,193956,199770,205034
237436,2261,48,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
195253,2270,66,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
32708,2267,84,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
33587,2270,50,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
185017,2272,86,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
223792,2255,59,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
140139,2270,26,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
103544,2270,96,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
78398,2257,72,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580
233640,2267,39,High,Vacheron Overseas Tourbillon Skeleton,Vacheron Constantin,226580 USD,https://uncrate.com/p/2022/03/vc-overseas-tourbillon-skeleton-2.jpg,136000,136000,136000,136000,136000,187275,226580